"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 22 15:46:37 EET 2024","Wed May 22 15:47:25 EET 2024","47667","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCases.GoooBig_Invoices","GoooBigTestCases.GoooBig_Invoices","SmalNonTaxInvoiceWithDiscountOverProductLevel","SmalNonTaxInvoiceWithDiscountOverProductLevel","This test attempts to Small Non Tax Invoice with discount over Product level"
"passed","Wed May 22 15:43:26 EET 2024","Wed May 22 15:44:25 EET 2024","59250","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCases.GoooBig_Invoices","GoooBigTestCases.GoooBig_Invoices","SmallTaxInvoiceWithDiscountOverProductLevel","SmallTaxInvoiceWithDiscountOverProductLevel","This test attempts to Small Tax Invoice with discount over Product level"
"passed","Wed May 22 15:49:29 EET 2024","Wed May 22 15:50:15 EET 2024","46107","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCases.GoooBig_PendingInvoice","GoooBigTestCases.GoooBig_PendingInvoice","PendingInvoiceTestCase","PendingInvoiceTestCase","This test attempts to Small Non Tax Invoice with discount over Product level and make it Pending invoice"
"passed","Wed May 22 15:43:20 EET 2024","Wed May 22 15:43:26 EET 2024","5516","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCases.GoooBig_ShiftStart","GoooBigTestCases.GoooBig_ShiftStart","verifyClickOnApplyWithValidData","verifyClickOnApplyWithValidData","This test attempts to verify click on Apply with valid data."
"passed","Wed May 22 15:50:25 EET 2024","Wed May 22 15:50:55 EET 2024","29519","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCases.GoooBig_NoticeCreditor","GoooBigTestCases.GoooBig_NoticeCreditor","VerifyToCreateANoticeCreditorInvoice","VerifyToCreateANoticeCreditorInvoice","This test attempts to Navigate to Make Notice Creditor invoice."
"passed","Wed May 22 15:51:37 EET 2024","Wed May 22 15:52:20 EET 2024","42194","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCases.GoooBig_PriceOffer","GoooBigTestCases.GoooBig_PriceOffer","SmallTaxInvoiceToDisplayThePriceWithDiscountOverProduct","SmallTaxInvoiceToDisplayThePriceWithDiscountOverProduct","This test attempts to Small Non Tax Invoice with discount over Product level to display Price."
"passed","Wed May 22 15:42:25 EET 2024","Wed May 22 15:42:29 EET 2024","4342","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCases.GoooBig_Login","GoooBigTestCases.GoooBig_Login","loginToOrganizationUsingAnEmptyData","loginToOrganizationUsingAnEmptyData","This test attempts to login to organization using an Empty Data UserId and a password."
"passed","Wed May 22 15:42:49 EET 2024","Wed May 22 15:42:52 EET 2024","3551","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCases.GoooBig_Login","GoooBigTestCases.GoooBig_Login","LoginToOrganizationUsingValidData","LoginToOrganizationUsingValidData","This test attempts to Login to organization using valid UserId, password."
"passed","Wed May 22 15:42:29 EET 2024","Wed May 22 15:42:36 EET 2024","6951","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCases.GoooBig_Login","GoooBigTestCases.GoooBig_Login","LoginToOrganizationUsingUserIdAndAnEmptyData","LoginToOrganizationUsingUserIdAndAnEmptyData","This test attempts to Login to organization using UserId and an Empty Data for password."
"passed","Wed May 22 15:50:55 EET 2024","Wed May 22 15:51:37 EET 2024","42625","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCases.GoooBig_PostPaid","GoooBigTestCases.GoooBig_PostPaid","CreateAnPostPaidInvoice","CreateAnPostPaidInvoice","This test attempts to Small Tax Invoice with discount over Product level"
